object,alias,star_id,ra_deg,dec_deg,apass_ra_deg,apass_dec_deg,match_sep_arcsec,B_mag,B_mag_err,B_mag_err_raw,B_err_flag,V_mag,V_mag_err,V_mag_err_raw,V_err_flag,g_mag,g_mag_err,g_mag_err_raw,g_err_flag,r_mag,r_mag_err,r_mag_err_raw,r_err_flag,i_mag,i_mag_err,i_mag_err_raw,i_err_flag,apass_field,apass_nobs,apass_mobs,catalog,catalog_query_url,instrument,observed_filter,aperture
Mrk 42,CGCG 243-024 · 2MIG 1646,1,178.397736,46.157415,178.397736,46.157415,0.0,16.891000747680664,0.09399999678134918,0.09399999678134918,,16.090999603271484,0.017000000923871994,0.017000000923871994,,16.437999725341797,0.014000000432133675,0.014000000432133675,,15.791999816894531,0.02500000037252903,0.02500000037252903,,15.409000396728516,0.1809999942779541,0.1809999942779541,,20122207,3,11,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=178.397736%2046.157415%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,5 px = 1.61″
Mrk 42,CGCG 243-024 · 2MIG 1646,2,178.446143,46.272907,178.446143,46.272907,0.0,15.006999969482422,0.11999999731779099,0.11999999731779099,,14.53600025177002,0.03799999877810478,0.03799999877810478,,14.645999908447266,0.1860000044107437,0.1860000044107437,,14.369999885559082,0.03500000014901161,0.03500000014901161,,14.24899959564209,0.07500000298023224,0.07500000298023224,,20152020,5,23,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=178.446143%2046.272907%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,5 px = 1.61″
Mrk 42,CGCG 243-024 · 2MIG 1646,3,178.476516,46.265684,178.476516,46.265684,0.0,15.142999649047852,0.17000000178813934,0.17000000178813934,,14.543000221252441,0.04800000041723251,0.04800000041723251,,14.74899959564209,0.18299999833106995,0.18299999833106995,,14.326000213623047,0.07500000298023224,0.07500000298023224,,14.17199993133545,0.06300000101327896,0.06300000101327896,,20152020,5,22,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=178.476516%2046.265684%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,5 px = 1.61″
Mrk 42,CGCG 243-024 · 2MIG 1646,4,178.342860,46.252550,178.342860,46.252550,0.0,14.607999801635742,0.14000000059604645,0.14000000059604645,,13.793000221252441,0.05000000074505806,0.05000000074505806,,14.104000091552734,0.1889999955892563,0.1889999955892563,,13.515000343322754,0.0430000014603138,0.0430000014603138,,13.255999565124512,0.06300000101327896,0.06300000101327896,,20152020,5,25,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=178.342860%2046.252550%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,5 px = 1.61″
IC 5287,2MIG 3128,1,347.296561,0.724682,347.296561,0.724682,0.0,16.260000228881836,0.0430000014603138,0.0430000014603138,,15.319000244140625,0.07900000363588333,0.07900000363588333,,15.706999778747559,0.0430000014603138,0.0430000014603138,,15.031999588012695,0.08299999684095383,0.08299999684095383,,14.744999885559082,0.1289999932050705,0.1289999932050705,,20140131,11,52,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=347.296561%200.724682%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
IC 5287,2MIG 3128,2,347.278866,0.755341,347.278866,0.755341,0.0,16.55699920654297,0.08900000154972076,0.08900000154972076,,15.371000289916992,0.07100000232458115,0.07100000232458115,,15.940999984741211,0.057999998331069946,0.057999998331069946,,14.883000373840332,0.06800000369548798,0.06800000369548798,,14.508000373840332,0.12999999523162842,0.12999999523162842,,20140131,11,48,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=347.278866%200.755341%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
IC 5287,2MIG 3128,3,347.266787,0.734029,347.266787,0.734029,0.0,15.833000183105469,0.061000000685453415,0.061000000685453415,,15.006999969482422,0.050999999046325684,0.050999999046325684,,15.36299991607666,0.01899999938905239,0.01899999938905239,,14.75,0.08500000089406967,0.08500000089406967,,14.545999526977539,0.14800000190734863,0.14800000190734863,,20140131,11,55,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=347.266787%200.734029%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
Mrk 845,MCG+09-25-022 · 2MIG 2067,1,226.873709,51.488488,226.873709,51.488488,0.0,17.659000396728516,0.026000000536441803,0.026000000536441803,,16.417999267578125,0.04699999839067459,0.04699999839067459,,17.01300048828125,,0.0,,16.013999938964844,,0.0,,15.869000434875488,,0.0,,20122303,3,7,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=226.873709%2051.488488%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
Mrk 845,MCG+09-25-022 · 2MIG 2067,2,226.970757,51.447272,226.970757,51.447272,0.0,16.840999603271484,0.04699999839067459,0.04699999839067459,,16.118000030517578,0.06499999761581421,0.06499999761581421,,16.44099998474121,0.08900000154972076,0.08900000154972076,,15.819999694824219,0.07699999958276749,0.07699999958276749,,15.60099983215332,,0.0,,20122303,4,13,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=226.970757%2051.447272%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
Mrk 845,MCG+09-25-022 · 2MIG 2067,3,227.025070,51.447829,227.025070,51.447829,0.0,14.402000427246094,0.06199999898672104,0.06199999898672104,,13.64900016784668,0.05999999865889549,0.05999999865889549,,13.991000175476074,0.07100000232458115,0.07100000232458115,,13.444999694824219,0.06300000101327896,0.06300000101327896,,13.314000129699707,0.07800000160932541,0.07800000160932541,,20122303,6,30,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=227.025070%2051.447829%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
Mrk 845,MCG+09-25-022 · 2MIG 2067,4,227.039360,51.484968,227.039360,51.484968,0.0,17.39699935913086,0.0949999988079071,0.0949999988079071,,16.621000289916992,,0.0,,16.986000061035156,,0.0,,,,,,,,,,20122303,2,3,APASS DR9,https://vizier.cds.unistra.fr/viz-bin/VizieR/VizieR-6?-c=227.039360%2051.484968%2Ceq%3DJ2000%2Crs%3D3&-source=II%2F336%2Fapass9,IAC80 / CAMELOT2,V,9 px = 2.90″
